Localização;Tipo;1º Ano;2° ano; 3° ano; 4° ano; 5° ano; 6° ano;7° ano; 8° ano;9° ano;Total;Ensino Fundamental I;Ensino Fundamental II
Total;Total;20;20,6;21,6;22,8;23;26,7;28;27,6;27,6;23,6;21,5;27,5
Urbana;Total;20,2;20,8;21,9;23,1;23,4;26,8;28,3;27,9;28;24;21,8;27,7
Rural;Total;16,5;17,4;17,9;18,5;18,5;24,1;23,9;22,9;21,7;18,8;17,7;23,2
Total;Federal;19,6;22,8;23,5;25,8;24,6;27,8;28,6;28,4;28,1;26;23,2;28,2
Urbana;Federal;19,6;22,8;23,5;25,8;24,6;27,8;28,6;28,4;28,1;26;23,2;28,2
Rural;Federal;;;;;;;;;;;;
Total;Estadual;17,2;16,1;15,4;16,8;23,8;28,8;30;30,8;30,5;29;17,5;30
Urbana;Estadual;17,2;16,9;15,1;17,1;24,5;29,1;30,3;31,2;30,8;29,3;17,8;30,3
Rural;Estadual;;4;20;10;15;24,1;25,2;24,5;25,3;24,3;12,3;24,8
Total;Municipal;22,5;23,5;24,7;26,5;26,7;28,5;30,4;29,7;29,8;26,1;24,7;29,6
Urbana;Municipal;23,3;24,2;25,5;27,4;27,7;28,9;31;30,4;30,7;27;25,6;30,2
Rural;Municipal;16,6;17,5;18,1;18,6;18,8;24,1;23,6;22,5;20,7;18,5;17,9;22,9
Total;Privada;16,6;16,8;17,2;17,6;17,9;22,9;23,5;23,3;23,4;19,2;17,2;23,3
Urbana;Privada;16,7;16,9;17,2;17,6;17,9;22,9;23,6;23,4;23,5;19,2;17,2;23,3
Rural;Privada;15,3;15,9;15,6;16,7;15,3;22,8;23;21,8;19,8;17,4;15,8;21,9
Total;Pública;22,5;23,5;24,7;26,5;26,7;28,5;30,3;30;30;26,4;24,7;29,7
Urbana;Pública;23,2;24,2;25,5;27,4;27,7;28,9;30,8;30,6;30,7;27,2;25,5;30,2
Rural;Pública;16,6;17,5;18,1;18,6;18,8;24,1;23,9;22,9;21,8;18,9;17,9;23,3
