Localização;Tipo;Creche;Pré-escola;Total
Total;Total;14,5;17,4;16,1
Urbana;Total;14,6;17,5;16,2
Rural;Total;13,0;15,3;14,3
Total;Federal;18,1;15,6;16,7
Urbana;Federal;18,1;15,6;16,7
Rural;Federal;;;
Total;Estadual;12,1;13,1;12,8
Urbana;Estadual;12,1;13,1;12,8
Rural;Estadual;;;
Total;Municipal;17,7;20,1;19,0
Urbana;Municipal;18,1;20,7;19,6
Rural;Municipal;13,3;15,5;14,6
Total;Privada;11,6;14,1;12,9
Urbana;Privada;11,6;14,2;12,9
Rural;Privada;9,9;13,0;11,7
Total;Pública;17,7;20,1;19,0
Urbana;Pública;18,1;20,6;19,6
Rural;Pública;13,3;15,5;14,6
